"Institution id","Case url","Institution name","Institution tags","Jst category","Voivodship","County","Community","Jst full name","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","population_2025"
"696","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-429","OSTRÓW LUBELSKI","samorząd gminy","gmina miejsko-wiejska","Lubelskie","Lubartowski","Ostrów Lubelski","Lubelskie / Lubartowski / Ostrów Lubelski (0608103, gmina miejsko-wiejska)",85,85,0,"N/A",0,0,0,"b) NIE","b) NIE",4820
"1173","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1137","OSTRÓW MAZOWIECKA","samorząd gminy","gmina wiejska","Mazowieckie","Ostrowski","Ostrów Mazowiecka","Mazowieckie / Ostrowski / Ostrów Mazowiecka (1416072, gmina wiejska)",89,89,0,"N/A",0,0,0,"b) NIE","a) TAK",12500
"723","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1136","OSTRÓW MAZOWIECKA","samorząd gminy","gmina miejska","Mazowieckie","Ostrowski","Ostrów Mazowiecka","Mazowieckie / Ostrowski / Ostrów Mazowiecka (1416011, gmina miejska)",142,140,2,"[a, c]",1,0,0,"b) NIE","b) NIE",21250
"957","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-430","OSTRÓWEK (woj. lubelskie)","samorząd gminy","gmina wiejska","Lubelskie","Lubartowski","Ostrówek","Lubelskie / Lubartowski / Ostrówek (0608112, gmina wiejska)",95,94,0,"[c]",0,0,0,"b) NIE","b) NIE",3580
"1755","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-709","OSTRÓWEK (woj. łódzkie)","samorząd gminy","gmina wiejska","Łódzkie","Wieluński","Ostrówek","Łódzkie / Wieluński / Ostrówek (1017062, gmina wiejska)",54,54,0,"N/A",0,0,0,"b) NIE","b) NIE",4280
"690","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2277","OSTRZESZÓW","samorząd gminy","gmina miejsko-wiejska","Wielkopolskie","Ostrzeszowski","Ostrzeszów","Wielkopolskie / Ostrzeszowski / Ostrzeszów (3018073, gmina miejsko-wiejska)",100,97,0,"[a, b, c]",0,0,0,"b) NIE","b) NIE",23480
"2062","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-895","OŚWIĘCIM","samorząd gminy","gmina miejska","Małopolskie","Oświęcimski","Oświęcim","Małopolskie / Oświęcimski / Oświęcim (1213011, gmina miejska)",113,106,0,"N/A",0,0,0,"b) NIE","b) NIE",35010
"325","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-896","OŚWIĘCIM","samorząd gminy","gmina wiejska","Małopolskie","Oświęcimski","Oświęcim","Małopolskie / Oświęcimski / Oświęcim (1213062, gmina wiejska)",101,95,6,"[c, f]",0,0,0,"b) NIE","b) NIE",18900
"2141","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1325","OTMUCHÓW","samorząd gminy","gmina miejsko-wiejska","Opolskie","Nyski","Otmuchów","Opolskie / Nyski / Otmuchów (1607063, gmina miejsko-wiejska)",98,98,0,"N/A",0,0,0,"a) TAK","b) NIE",12550
"1420","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1326","OZIMEK","samorząd gminy","gmina miejsko-wiejska","Opolskie","Opolski","Ozimek","Opolskie / Opolski / Ozimek (1609083, gmina miejsko-wiejska)",88,83,0,"[a, b, c]",0,0,0,"b) NIE","b) NIE",18270
